StudentNo,The Godfather (1972),Taxi Driver (1976),Seinfeld (1989),The GoodFellas (1990),The Shawshank Redemption (1994),Pulp Fiction (1994),Cowboy Bebop (1998),One Piece (1999),Fight Club (1999),Shrek (2001),Zoolander (2001),Spirited Away (2001),The Lord of the Rings: The Return of the King (2003),Arrested Development (2003),The Office (2005),Naruto Shippuden (2007),Transformers (2007),The Dark Knight (2008),Iron Man (2008),Breaking Bad (2008),Despicable Me (2010),How to Train Your Dragon (2010),Hot Tub Time Machine (2010),The Social Network (2010),Inception (2010),Downton Abbey (2010),Black Mirror (2011),The Hunger Games (2012),21 Jump Street (2012),Frozen (2013),The Wolf of Wallstreet (2013),Attack on Titan (2013),The Grandmaster (2013),Boyhood (2014),Interstellar (2014),Guardians of the Galaxy (2014),The Hunger Games: Mockingjay - Part 1 (2014),Mad Max: Fury Road (2015),Fifty Shades of Grey (2015),Minions (2015),Furious 7 (2015),Stranger Things (2016),Zootopia (2016),Deadpool (2016),Moonlight (2016),Get Out (2017),It (2017),Beauty and the Beast (2017),Star Wars: Episode VIII - The Last Jedi (2017),Ozark (2017),Jurassic World: Fallen Kingdom (2018),Black Panther (2018),Deadpool 2 (2018),Burning (2018),Roma (2018),Game Night (2018),Bohemian Rhapsody (2018),1917 (2019),Parasite (2019),Knives Out (2019),Avengers: Endgame (2019),Star Wars: Episode IX - The Rise of Skywalker (2019),The Irishman (2019),The Lion King (2019),Euphoria (2019),Ne Zha (2019),Nomadland (2020),Sonic the Hedgehog (2020),Squid Game (2021),Dune (2021),No Time to Die (2021),"Hi, Mom (2021)",Judas and the Black Messiah (2021),F9 (2021),The Battle of Lake Changjin (2021),Raya and the Last Dragon (2021),The falls (2021),White Lotus (2021),Top gun: Maverick (2022),Inventing Anna (2022),Severance (2022),Avatar: The way of water (2022),M3gan (2022),Spy x Family (2022),House of the dragon (2022),RRR (2022)
2267056,3.844520563307569,3.914277200258912,3.4720928668601236,4.086850470551901,5.0,4.261899117469569,4.218280259207262,3.294231020491725,4.092875600245648,4.0,2.8123862092816543,4.0,4.1145212962988,3.756160892399299,3.3650230609703136,3.5882450839470827,2.408034469774637,5.0,3.0,4.561181770750122,3.0,3.0,2.0822820252504033,3.6301136864923773,4.074230313642297,2.438758368893293,3.0,2.7683881210299077,3.531409727720778,2.0,3.8549188160555703,5.0,3.516459675754621,3.10069944432043,4.340651246763642,3.0,2.1984523190726692,3.138600660435185,1.2192180460181272,4.0,2.2586647825514548,3.4165595382435354,4.0,4.0,3.894866153311655,3.972953570601601,2.7165395226462707,2.0,1.9724612726476571,3.565246241063662,1.0,3.0,3.0,3.3323823167104827,3.3911894149576662,2.547730278071657,3.468391027003815,4.220920957300035,4.0,4.043128769140313,4.0,1.5334221067306415,3.468471256661418,2.48279403000204,2.6712987225236393,3.512788164865385,3.2277595097384837,2.0,3.0,3.8457664700690644,3.0442516697716,3.676636973302873,3.4963412913141316,1.889062323714006,0.4547335062910953,2.0,1.680916458406057,3.020159129313768,4.0,2.0138806714160435,3.3372482593721102,4.0,1.2394106124469375,4.061073571918684,4.000031705115056,3.5008244867056186
1962812,4.0,4.251976034943863,4.050957744831847,4.330428347911834,4.0,4.0,4.390176713898056,3.0,4.333167389477216,4.0,3.751053170505062,4.487359280527072,4.0,4.18009589934417,4.002283498195469,4.0,4.0,5.0,4.0,4.0,3.0,4.0,3.41914567493753,4.1227944712043465,5.0,3.58120086245104,4.096470792846218,4.0,4.077923363114545,3.0,5.0,5.0,4.071127025803761,3.8821212096612343,5.0,4.0,3.4719570299814047,5.0,3.02679426793714,3.0,3.4993297918314306,4.025712131363521,3.0,4.244425182448961,4.2431517162787715,4.278650484365455,2.0,3.383162913179497,4.0,4.093305540957116,4.0,4.0,4.130646158033308,4.0,4.014178799181313,3.6307398108007116,3.0,4.0,5.0,4.310552334686781,5.0,4.0,4.049311350252464,3.0,3.686914386739695,4.0694579462246425,3.939883086694592,3.693097684990723,4.080423600459782,4.220830856797833,3.8564598863999215,4.143944093338522,4.061981149447268,3.3313074339934037,2.679257362204196,3.572338893072433,3.2366837153815666,3.845507347104686,5.0,3.3880502196023237,3.9896569922255347,4.0,3.035973867642297,4.318710094468044,4.290960283442867,4.06401922317301
2041774,3.9046693712018383,3.9437337389888336,3.696106385026994,4.040376381116668,4.2636469920372075,4.1384052572589844,4.113978289502552,3.5965020909344387,4.0437505099825,3.0,3.0,5.0,4.0,3.855187130762033,3.636146294360937,3.7611527107368317,2.0,4.067604039367649,3.0,4.306006336539431,4.0,4.0,2.917799341514188,3.784599518955206,4.0,3.117429421231802,3.7521723064128376,4.0,4.0,3.0,4.0,4.003523862276127,3.720952212118672,3.4881226018941933,5.0,4.0,4.0,4.0,2.4344754574806924,3.0227498044078356,3.016575331923513,3.665007202664925,2.0,4.0,3.9328633715196104,3.976593054054031,4.0,2.873473444216903,3.0,3.7482731440556,2.7769523248586383,4.0,3.7942717355107707,3.6178671729133725,3.650799696825274,3.178454707493294,3.6940333201552424,4.1154571050822435,4.321311371592667,4.015891820236722,4.0,3.0,3.0,3.142089802472593,3.0,3.7188961317515647,3.559277424481079,3.0,5.0,4.0,3.4565113212748164,3.8106529938079685,3.7096857290510945,2.8095945051804603,2.0063569796905467,3.106512673174238,2.6930308778168905,3.4430192737435643,3.0,2.8794939449226398,3.6205921462216017,3.607738854290045,2.445783483154129,4.0259410772857445,3.991757062123359,3.71219636031556
2166942,1.0,1.0,1.0,1.0,1.0,1.0,1.8709976791768663,3.0,3.0,1.769085035364421,5.0,5.0,2.0,3.0,3.0,3.0,1.5000485718395222,3.0,3.0,2.0,4.0,4.0,1.4332965433500122,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2178768,3.565776996872027,3.62666495282304,3.0,3.7772976974499217,4.125300030343458,3.930091105627582,3.892017837812774,3.0,3.7825568075134974,3.0,2.664865573529001,4.0,3.801450524949053,3.488651149279038,4.0,5.0,3.0,3.8197362815139093,3.317139897925486,4.191323725292997,2.8279546458182607,3.4041060726485792,2.0275849742943617,3.378629263815118,3.766282035118855,2.338739824325998,3.328086357306052,2.6264612900588884,3.292474274748374,3.0,3.574853242272582,3.0,3.2794249342789414,2.9165233988249644,3.998830889955927,3.3897827553710242,2.1289856730981214,2.9496059509396075,2.0,1.0,2.1815428774621384,3.1922258455883847,2.781662318861408,3.612166901808992,3.6097217769025605,3.677881359016518,2.5812045903027534,1.9584960977805415,1.9317265522255442,3.3220089000399358,1.8080527654866827,3.416515878849183,3.3937049332536984,3.118750701418831,3.170081215104274,2.433857322759561,3.237467610995061,3.8943228042816256,4.2151790275272845,3.7391346617016676,4.0,1.0,3.237537640458515,2.377176903735852,2.5417155901811337,3.2762202099248503,3.027429371423725,2.5535878620258043,3.2972748676089747,3.5668645022238965,2.867252250437188,3.419237698536386,3.2618643499509945,1.8589307330610545,0.6069588251344737,2.3217243569701296,1.6772480024687522,2.846222774157136,3.672222990613522,1.9678799942196885,3.122998000534584,3.1029641252336586,1.2918740842905474,5.0,3.7015168485347543,3.2657775633088435
1801048,4.134525101237831,4.161470130162042,3.9906667460829874,4.22813033573981,4.382133418599965,4.295746709757821,4.278897970356311,3.921963712158732,5.0,3.0,3.7358405998290385,4.361473099437722,4.0,4.1003942429796005,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,3.591518662789883,4.0,4.0,5.0,3.0,5.0,5.0,4.007804397798781,3.8472079018790426,4.0,5.0,4.0,4.0,3.120444501100663,3.5262124730733233,3.5219535704183778,3.969215781540711,3.787527204052826,4.0,4.153972188112343,4.0,3.0,3.4232476467902613,4.0,4.02664927723702,3.3566712627287876,4.0,4.0,3.9367004859631747,3.959416015731683,3.6336114495563328,3.989236829355915,4.0,4.421907987165639,4.2112418709192845,4.0,3.0,3.9892678198184597,4.0,4.0,4.0063861962995455,3.896287635183699,3.6865963591866695,3.0,4.135006360013949,3.8254037125660387,4.06967638739097,4.000033231149284,3.3791865251724715,2.82514560288363,3.583988729276731,3.2987856256123376,4.0,4.0,3.4274003459082616,3.938580062896514,3.929714379346852,3.128244322167981,4.21817344404314,4.194594685970859,4.001764963566097
2078710,2.0,3.6088663090067428,3.0,3.8413804007859076,5.0,4.077229655343883,4.01846041955154,2.7734560852511003,4.0,4.0,2.1242494701895502,5.0,5.0,3.395830595799038,3.0,3.169591667653642,1.5794520209021825,4.0,2.0,4.480463795802853,2.0,2.0,1.1405541912742039,3.2260027218009864,5.0,1.6208474205916046,2.0,2.0,3.0930153750941476,1.0,3.5288906513102365,5.0,3.0728726394951718,2.512704124141122,4.0,3.0,1.297074551083949,2.5637697777460318,-0.022282538526461337,1.3930562030594473,1.3782009400999702,2.0,2.304534900366069,2.0,3.582713116546742,3.687923065223772,2.0,1.0,1.0,3.13860451039614,0.8016880816933907,3.0,3.249273263648691,2.824858680655603,2.9040915712179576,1.7676691412962762,3.008108043052339,4.022018325811657,4.0,3.7824726007685827,1.0,1.0,3.008216139317419,1.6801782296515022,1.934157292013579,3.0679258825703095,2.683896659705423,1.9524831249004237,3.1004254869642383,3.0,2.436650034131161,3.2886851972559557,3.045766426126771,0.880222429928414,-1.0522996908471,1.5945826403258818,0.5997801183960436,2.40418929931577,3.679188905905136,1.0483946196542202,2.8314147378984016,2.800490795485018,0.004923622867561317,3.8066502704220904,3.724406396870561,3.0518067943886136
2264808,3.21136473558265,3.2204660552642506,3.1627731796850425,3.242982113521636,4.0,3.265821140244507,2.0,3.0,3.2437682269849923,3.0,3.0766996324340488,5.0,3.0,3.1998362323886367,3.148803519244993,4.0,3.0239428682621807,3.2493256853227916,2.0,3.3048692827827417,4.0,3.187198728667239,2.981441147074763,3.1833905439772012,3.241335530666067,3.0279514908100134,3.175835566271161,4.0,3.1705123961495403,2.0,3.2127214211472888,3.0,3.1685618261658495,3.114316568043411,3.2760961238967727,4.0,4.0,3.119261632760657,2.868835070807837,4.0,3.0044542384547097,2.0,1.0,1.0,3.217933448313248,3.22812170535841,3.06419427991685,2.971113982337934,3.0,3.1749271291169445,2.9486262367766725,3.189053703294886,3.1856440025607844,3.144544801205571,3.1522175076903785,3.042169323335948,3.162290191550654,3.260474619082271,5.0,3.2372776357979194,2.0,3.0,3.162300659311052,3.033696931626217,3.0582916016547848,3.1680827951262547,3.1308944067219215,3.060066227518267,2.0,2.0,3.1069516883138713,3.1894605514260475,3.16593693115553,2.9562312982442807,2.769090896034185,4.0,2.9290739961815047,3.103808275411074,3.2272759121484462,2.9725166545087722,3.1451796726909427,4.0,2.8714696445242955,5.0,3.2316546560475357,3.1665218646648885
2135066,5.0,4.498805634792073,4.4611568075641985,4.513499012070889,5.0,4.528403149930366,4.524689316728787,5.0,4.514012008687304,5.0,4.404987513230899,5.0,5.0,4.48534316426364,5.0,4.471046336484477,4.0,4.5176386573278045,3.0,4.55388492315162,5.0,4.0,4.342824373999662,4.474611147954356,5.0,5.0,4.469680971610924,4.40124139131334,4.466207213192723,5.0,4.493751693748481,4.50789601994364,4.46493432340218,4.429535319097407,4.535108329389869,4.0,4.352715442024411,4.432762336043626,4.0,5.0,4.0,4.0,5.0,4.497391431433536,4.497152923247066,4.503801507242847,4.396826854716013,5.0,4.333473923907964,4.469088149826204,4.0,4.478306774226662,4.476081694742442,4.449261455406275,4.454268458401301,4.38245395725353,4.0,4.524914153247737,4.0,4.0,3.0,4.0,4.460848453408795,4.0,4.3929749247881125,5.0,4.440353573135757,4.39413299815259,4.0,4.492972437074851,4.42472919560802,4.478572272433231,4.463221387138513,4.326373101055975,4.204250280873616,4.3715160169284175,4.30865097223033,4.422677888438891,4.503249565220322,4.337000488895302,4.449675755553819,4.447721563662259,4.271059913345798,5.0,4.506107016350585,4.46360309909883
2141953,3.8285424219385513,3.8902398614473066,3.499142435397071,4.042875214441123,4.395504113658546,4.197699956233443,4.159120517964984,3.3418295116836734,4.0,3.0,3.0,4.0,4.067349145127711,3.7503912138366022,3.404442731385988,3.6018752318839358,2.5580179566789067,4.085878004274168,3.576599781850115,4.462405569975638,3.0809109870949904,3.0,2.269900687566836,2.0,4.0,2.5851922298404495,3.587691770485945,2.876738849367428,4.0,2.5286499872095702,3.8377393327696177,4.0,3.5383834112754533,3.170657229938048,4.0,3.650208400056893,2.3726494723285363,3.2041796027293206,1.5065491273703293,2.4356572376562573,2.425905405892919,3.0,3.034003220238146,3.8755490640397907,3.8730714320738353,3.942137171409892,2.8308804780038614,2.1998932991948443,3.0,3.581533515603075,2.0474498767031504,3.0,3.6541827218891707,3.3755730720602903,3.4275860065330606,2.68157428133435,3.0,4.161456128137152,5.0,5.0,2.0,1.0,3.495939240892227,2.624140316448754,2.7908664857748393,3.535136081259352,3.2830376577040394,2.8028965952197584,3.0,5.0,3.1207310392866905,3.680054936137704,3.52058936527096,2.0990042486264535,0.8303878227752248,2.5679505479428584,1.9149061112292571,3.0994219836545196,3.9364035770264154,2.2094019511748275,3.379876837495947,3.359576619001189,1.5244087848913341,4.020076399680952,3.966086886292494,3.5245546033982667
